protocol,t,repair,store
replicated,76464000,9,3
replicated,76550400,9,3
replicated,76636800,9,3
replicated,76723200,9,3
replicated,76809600,9,3
replicated,76896000,9,3
replicated,76982400,9,3
replicated,77068800,9,3
replicated,77155200,9,3
replicated,77241600,9,3
replicated,77328000,9,3
replicated,77414400,9,3
replicated,77500800,9,3
replicated,77587200,9,3
replicated,77673600,9,3
replicated,77760000,9,3
replicated,77846400,9,3
replicated,77932800,9,3
replicated,78019200,9,3
replicated,78105600,9,3
replicated,78192000,9,3
replicated,78278400,9,3
replicated,78364800,9,3
replicated,78451200,9,3
replicated,78537600,9,3
replicated,78624000,9,3
replicated,78710400,9,3
replicated,78796800,9,3
replicated,78883200,9,3
replicated,78969600,9,3
replicated,79056000,9,3
replicated,79142400,9,3
replicated,79228800,9,3
replicated,79315200,10,3
replicated,79401600,10,3
replicated,79488000,10,3
replicated,79574400,10,3
replicated,79660800,10,3
replicated,79747200,10,3
replicated,79833600,11,3
replicated,79920000,11,3
replicated,80006400,11,3
replicated,80092800,11,3
replicated,80179200,11,3
replicated,80265600,11,3
replicated,80352000,11,3
replicated,80438400,11,3
replicated,80524800,11,3
replicated,80611200,11,3
replicated,80697600,11,3
replicated,80784000,11,3
replicated,80870400,11,3
replicated,80956800,11,3
replicated,81043200,11,3
replicated,81129600,11,3
replicated,81216000,11,3
replicated,81302400,11,3
replicated,81388800,11,3
replicated,81475200,11,3
replicated,81561600,11,3
replicated,81648000,11,3
replicated,81734400,11,3
replicated,81820800,11,3
replicated,81907200,11,3
replicated,81993600,11,3
replicated,82080000,11,3
replicated,82166400,11,3
replicated,82252800,11,3
replicated,82339200,11,3
replicated,82425600,11,3
replicated,82512000,11,3
replicated,82598400,11,3
replicated,82684800,11,3
replicated,82771200,11,3
replicated,82857600,11,3
replicated,82944000,11,3
replicated,83030400,11,3
replicated,83116800,11,3
replicated,83203200,11,3
replicated,83289600,11,3
replicated,83376000,11,3
replicated,83462400,11,3
replicated,83548800,11,3
replicated,83635200,11,3
replicated,83721600,11,3
replicated,83808000,11,3
replicated,83894400,11,3
replicated,83980800,11,3
replicated,84067200,11,3
replicated,84153600,11,3
replicated,84240000,11,3
replicated,84326400,11,3
replicated,84412800,11,3
replicated,84499200,11,3
replicated,84585600,11,3
replicated,84672000,11,3
replicated,84758400,11,3
replicated,84844800,11,3
replicated,84931200,11,3
replicated,85017600,11,3
replicated,85104000,11,3
replicated,85190400,11,3
replicated,85276800,11,3
replicated,85363200,11,3
replicated,85449600,11,3
replicated,85536000,11,3
replicated,85622400,11,3
replicated,85708800,11,3
replicated,85795200,11,3
replicated,85881600,11,3
replicated,85968000,11,3
replicated,86054400,11,3
replicated,86140800,11,3
replicated,86227200,11,3
replicated,86313600,11,3
replicated,86400000,11,3
replicated,86486400,11,3
replicated,86572800,11,3
replicated,86659200,11,3
replicated,86745600,11,3
replicated,86832000,11,3
replicated,86918400,11,3
replicated,87004800,11,3
replicated,87091200,11,3
replicated,87177600,11,3
replicated,87264000,11,3
replicated,87350400,11,3
replicated,87436800,11,3
replicated,87523200,11,3
replicated,87609600,11,3
replicated,87696000,11,3
replicated,87782400,11,3
replicated,87868800,11,3
replicated,87955200,11,3
replicated,88041600,11,3
replicated,88128000,11,3
replicated,88214400,11,3
replicated,88300800,11,3
replicated,88387200,11,3
replicated,88473600,11,3
replicated,88560000,11,3
replicated,88646400,11,3
replicated,88732800,11,3
replicated,88819200,11,3
replicated,88905600,11,3
replicated,88992000,11,3
replicated,89078400,11,3
replicated,89164800,11,3
replicated,89251200,11,3
replicated,89337600,11,3
replicated,89424000,11,3
replicated,89510400,11,3
replicated,89596800,11,3
replicated,89683200,11,3
replicated,89769600,11,3
replicated,89856000,11,3
replicated,89942400,11,3
replicated,90028800,11,3
replicated,90115200,11,3
replicated,90201600,11,3
replicated,90288000,11,3
replicated,90374400,11,3
replicated,90460800,11,3
replicated,90547200,11,3
replicated,90633600,11,3
replicated,90720000,11,3
replicated,90806400,11,3
replicated,90892800,11,3
replicated,90979200,11,3
replicated,91065600,11,3
replicated,91152000,11,3
replicated,91238400,11,3
replicated,91324800,12,3
replicated,91411200,13,3
